transaction_id,timestamp,originator_account,originator_company,originator_SIC,originator_country,beneficiary_account,beneficiary_company,beneficiary_SIC,beneficiary_country,currency,amount,transaction_description,label
T00031,2025-01-08 17:28:05,GB20EXIU60326866063697,Sandoval-Santos,8221,DE,GB81CTTI39488483513780,Ballard-Brown,8221,SG,EUR,87633.65,Credit Card Payment,0
T00032,2025-01-04 11:28:39,GB03ZDTA17016208254843,"Booker, Hernandez and Lopez",8221,SG,GB28ZHMF97423074721203,Bush Group,8221,AE,SGD,65000.52,Donation,1
T00033,2025-07-08 13:52:48,GB77HDQI33060404783797,Ellis-Mitchell,8221,CN,GB89KULC46167822619075,Foster and Sons,8221,CN,CNY,96629.65,Travel Booking,1
T00034,2025-05-14 14:36:27,GB92XIRZ21036998153386,Li-Lewis,5411,UK,GB51MDRG33956485896114,"Brown, Goodman and Nichols",6211,IN,GBP,36230.31,Subscription Service,0
T00035,2025-01-27 20:28:27,GB09IUKH60030670277477,"Davidson, Coleman and Caldwell",6021,UK,GB29GRXT35794578798889,"Davis, Mullins and Sanders",6211,US,GBP,172969.23,Utility Bill Payment,1
T00036,2025-07-21 06:47:25,GB64BVNV73789141073979,Mills Ltd,5812,BR,GB76EYQT00528154914041,"Johnson, Smith and Garcia",4813,IN,BRL,127428.76,Subscription Service,1
T00037,2025-05-19 01:15:20,GB58FBLM48149902443262,Park-Thomas,8221,CN,GB29PVXN53041152716737,Wu-Williams,5812,CN,CNY,30098.53,Donation,1
T00038,2025-06-16 01:09:50,GB83CMUU04435945844732,"Cole, Brown and Mosley",7311,ZA,GB88GPNF93850180696960,"Martinez, Saunders and Grant",4813,IN,ZAR,166012.51,Salary Payment,1
T00039,2025-05-13 12:17:27,GB88HTZH26615656614047,"Bell, Murphy and Buckley",7311,UK,GB08RLPR29902052968831,"Young, Briggs and Taylor",8221,CN,GBP,144057.36,Subscription Service,1
T00040,2025-03-26 23:29:21,GB81IYHK42728630509404,Wallace-Davies,6211,SG,GB20BPPJ60328107743832,"King, Woods and Clements",7311,CN,SGD,177234.79,Subscription Service,1
T00041,2025-04-02 21:56:12,GB84HMKL32714366049167,"Diaz, Hoffman and Harrington",6021,ZA,GB63GFDL18381886937662,Rios-Daniel,6021,ZA,ZAR,33675.96,Utility Bill Payment,0
T00042,2025-04-16 04:54:08,GB50PZQA43637479391907,Lester PLC,6211,RU,GB77ZEMR72922417169138,Davis Inc,6211,CN,RUB,41880.68,EMI Payment,1
T00043,2025-01-18 10:34:34,GB79YMLM77885574043048,"Lewis, Perkins and Smith",4813,IN,GB20IWUY03467543747151,Maldonado and Sons,8221,IN,INR,153276.02,Subscription Service,1
T00044,2025-05-17 16:12:36,GB31GNXJ52162915281464,"Santana, Turner and Sanders",5411,BR,GB10WASM52245332128158,Lopez-Gardner,4813,CN,BRL,198594.74,Salary Payment,1
T00045,2025-05-24 10:01:14,GB55APYO32329629848161,"King, Schwartz and Kramer",4813,IN,GB21AIXE52618397395928,Thomas Ltd,7372,AE,INR,11521.75,Retail Shopping,1
T00046,2025-02-17 21:10:33,GB43GWWH39085812435268,"Cook, Lutz and Wood",6211,US,GB85XAEN56492527617214,Mueller-Yoder,5812,RU,USD,29842.14,Travel Booking,1
T00047,2025-06-29 11:26:19,GB03OEYO12636724370869,"Anderson, Clark and Ross",5812,CN,GB33WEVX93689647064011,"Hill, Hurst and Johnston",7311,IN,CNY,162847.79,Credit Card Payment,1
T00048,2025-02-25 10:44:59,GB18BLHI79279623362084,Hall-Wang,6211,SG,GB42PYLT07513532279531,Dyer-Valdez,4813,SG,SGD,63093.83,Loan Repayment,1
T00049,2025-02-13 15:40:16,GB76UWWX12714705285095,Brock and Sons,8221,US,GB20QPBD54271875584872,Riley and Sons,6021,BR,USD,44349.22,Utility Bill Payment,0
T00050,2025-03-24 05:05:46,GB45KEJE43552495834381,Mcintyre Inc,5411,CN,GB84LGXN78129646489207,"Cardenas, Dickson and Morton",7311,US,CNY,108280.53,Donation,1
T00051,2025-04-23 08:58:16,GB20GZWS71371077490689,"Bean, Hubbard and Moore",5812,US,GB59KOZN60388685513594,"Callahan, Kaufman and Castro",5411,CN,USD,190862.72,EMI Payment,1
T00052,2025-01-14 00:04:59,GB74NRYJ51154922696897,Hughes-Munoz,6021,AE,GB60HDHN72580925951101,"Frost, Moody and Black",5411,ZA,AED,47909.97,Retail Shopping,1
T00053,2025-03-08 21:47:45,GB14EBNQ01824494801158,Moore-Castillo,6021,CN,GB95ZAMM06631049554181,Simpson PLC,7311,CN,CNY,100603.56,Subscription Service,1
T00054,2025-04-29 20:07:38,GB41LFHJ33662567905693,"Schultz, Hunter and Young",4813,DE,GB61DHDC84560649458377,Walter Ltd,7372,ZA,EUR,148216.99,Insurance Premium,1
T00055,2025-06-17 02:17:47,GB96DKQV78484929447887,"Ashley, Owens and Thomas",5411,SG,GB46RVBO38606214237488,"Crawford, Burgess and Goodman",5812,ZA,SGD,182684.65,Paying Rent,1
T00056,2025-04-23 15:20:25,GB66UWHT25959882342983,Pineda-Brown,7311,DE,GB28NXPD55121554315008,Williams and Sons,4813,DE,EUR,71856.7,Subscription Service,1
T00057,2025-06-10 02:52:39,GB87VASE34910073290256,Lewis-Flores,7372,CN,GB58TTUU19363496105777,"Jackson, Ryan and Doyle",8221,US,CNY,50354.61,Donation,1
T00058,2025-08-08 00:06:40,GB41QYYW67928954901847,Gomez Ltd,6021,SG,GB52BZMB56881294216380,Marquez-Baker,8221,IN,SGD,100371.12,Loan Repayment,1
T00059,2025-05-31 03:48:42,GB84PEGF29609738477903,Martinez Group,5411,AE,GB54DLEF03768686247586,"Morgan, Johnson and Weaver",4813,DE,AED,190004.07,Donation,1
T00060,2025-07-14 06:02:56,GB52VQAB90975453059933,"Campbell, Sweeney and Sharp",7311,CN,GB41TZUE47878992128900,Strong-Garcia,5411,DE,CNY,75848.71,Donation,1
T00061,2025-05-25 18:23:30,GB95KFCL81517405136387,"Hughes, Cruz and Mendez",5411,UK,GB18ZHVM01677402071539,"Hurley, Coleman and Murphy",6021,US,GBP,96889.72,Subscription Service,1
T00062,2025-06-03 01:57:35,GB14GZPE26266277996599,"James, Perez and Brown",6021,AE,GB58AIBW49293143877778,Robinson Ltd,5411,IN,AED,139369.78,Salary Payment,1
T00063,2025-03-28 10:34:47,GB30SNLH11545754450983,"King, Romero and Coleman",5411,DE,GB61VVPQ20434882960700,Alexander-Hood,6211,UK,EUR,44509.09,Insurance Premium,0
T00064,2025-08-21 21:27:00,GB71QHIW30199664159271,"Stokes, Fisher and Jenkins",7311,DE,GB15WFWY31038955470019,Norris-Ferguson,8221,SG,EUR,153999.06,Loan Repayment,1
T00065,2025-03-10 02:10:24,GB28YIGQ12707385808732,Young Ltd,6211,ZA,GB58KUNF34695407007923,Fields-Jones,7311,ZA,ZAR,63064.0,Credit Card Payment,0
T00066,2025-02-19 21:48:50,GB97KVPG48733307502460,"Perez, Copeland and Hess",4813,AE,GB05EATK97962407382156,Lopez Ltd,5411,RU,AED,198579.39,Retail Shopping,1
T00067,2025-07-02 20:05:09,GB53GVFU55127770578978,Thompson Group,5411,ZA,GB55PIXV43949447128287,"Green, Thornton and Patton",7372,ZA,ZAR,145025.13,Credit Card Payment,1
T00068,2025-07-15 04:19:13,GB97FUZJ88560294899315,"Bush, Massey and Chan",6211,SG,GB26GODE58855030673428,"Clark, Barry and Wiley",5411,US,SGD,116857.18,EMI Payment,1
T00069,2025-08-23 17:36:54,GB52WCAX90152641602863,"Simmons, Adams and Sanders",5411,US,GB35GKMG61674320199033,"Gallegos, Moreno and Murray",8221,IN,USD,95343.92,Donation,1
T00070,2025-05-16 13:26:43,GB92BOLB69148249708952,Lee Group,6211,RU,GB16XIOL23333520772982,Lawson PLC,8221,RU,RUB,50481.53,Utility Bill Payment,1
T00071,2025-07-15 00:47:02,GB33KAEB39501462718646,Gonzalez-Davies,8221,BR,GB24BTCZ75327940395399,"Roberts, Levine and Reid",4813,SG,BRL,53699.05,Loan Repayment,1
T00072,2025-06-28 14:35:28,GB31QXIP10780353728059,Watson-Gonzalez,5812,ZA,GB98VQQZ68177595073479,Hensley Group,7311,ZA,ZAR,43270.61,Utility Bill Payment,0
T00073,2025-08-22 03:47:50,GB86HNLS71180884932947,Mcconnell Group,7372,AE,GB91OCNM33807664905588,Mata-Holmes,5411,US,AED,17419.7,Salary Payment,1
T00074,2025-06-29 00:19:05,GB20HHQR15314840279967,Bauer-Ferguson,7372,ZA,GB38XQII00074620485654,Foley-Cooke,4813,AE,ZAR,34356.72,Retail Shopping,1
T00075,2025-06-14 04:46:25,GB23AQCF85416030147037,"Perkins, Barry and Deleon",5411,CN,GB72IFYF50283802681477,Brown-Wright,5411,UK,CNY,46641.44,Donation,1
T00076,2025-01-20 20:37:53,GB04JIJG54974965162480,Lucero Ltd,7372,SG,GB63OIXX49436144793051,Ford-Roberts,6211,BR,SGD,96317.92,Donation,1
T00077,2025-08-23 12:43:05,GB68QDQL71360332125609,Gonzalez-Wall,6021,SG,GB63BFOX28700861565489,Rodriguez PLC,8221,SG,SGD,116635.53,Utility Bill Payment,1
T00078,2025-02-18 11:55:17,GB10QJMU31198165589345,Hickman PLC,6211,AE,GB09GIVH04391515434225,Meyer PLC,5812,AE,AED,14441.74,Credit Card Payment,1
T00079,2025-04-25 18:06:04,GB04OUWB47800192680403,"Parker, Dunn and Fischer",8221,UK,GB29KGZY95453233613590,Cannon Ltd,6021,SG,GBP,166136.52,Salary Payment,1
T00080,2025-04-14 10:29:12,GB83EBDN85222292354004,Roberts-Peters,6021,UK,GB10FMGN60681813918327,"Phillips, Reed and Palmer",8221,IN,GBP,726.9,Subscription Service,0
T00081,2025-05-28 06:27:13,GB13DNTO95682719132234,"Wright, Harris and Simmons",6211,DE,GB31WIEM71539170937619,Murphy and Sons,7311,US,EUR,66661.3,Insurance Premium,0
T00082,2025-02-04 16:15:08,GB72JDDK33276589554531,Vasquez PLC,6211,IN,GB56KJBO01737693361866,Perry-Grant,6021,CN,INR,25554.19,Insurance Premium,1
T00083,2025-04-22 05:46:01,GB89JEZS40911990946284,Pratt-Woods,6211,IN,GB58BCXA12655575548526,Watson Inc,5411,DE,INR,63110.16,Credit Card Payment,0
T00084,2025-07-03 04:30:29,GB81BTDD91714486315692,Stone Group,5812,IN,GB85HXHU31013859544713,Bryant and Sons,8221,DE,INR,22930.56,Credit Card Payment,0
T00085,2025-02-16 14:32:56,GB38NPMJ01535163992037,"Rubio, Wagner and Reese",8221,ZA,GB15GLQX63704045511077,Martin Ltd,6211,CN,ZAR,41850.72,EMI Payment,1
T00086,2025-05-04 16:07:49,GB08QOVG53079622424915,"Jones, Stewart and Burke",8221,CN,GB47RIYJ51014954825366,Hernandez-Kelly,4813,IN,CNY,152610.38,Travel Booking,1
T00087,2025-02-22 18:06:01,GB08WHXY64262829333091,Douglas-Combs,6021,BR,GB24XJTM86177350148921,"Wu, Long and Walton",8221,BR,BRL,95601.67,Utility Bill Payment,0
T00088,2025-07-24 09:15:58,GB15DPBM59838846296059,Watson-Rodriguez,4813,BR,GB51LEOP66791397807568,Diaz-Booker,5411,AE,BRL,132608.36,Salary Payment,1
T00089,2025-02-19 20:15:41,GB51WPBQ75246046146463,"Benton, Harrington and Hansen",6211,US,GB24WDJB19988534332708,Lewis-Austin,6021,ZA,USD,176926.98,Loan Repayment,1
T00090,2025-06-09 18:57:47,GB58KPOF52007547567890,"Church, Little and Suarez",5411,CN,GB58JDMS68926946717222,Garrett-Curry,6021,AE,CNY,26096.25,Credit Card Payment,1
T00091,2025-07-03 09:25:56,GB45BLMZ24442988418065,Navarro Inc,7372,ZA,GB11BJBN61528714578579,Weeks-Nunez,7372,RU,ZAR,5884.66,Utility Bill Payment,1
T00092,2025-07-19 01:06:30,GB91JTJM73678416630530,Gallegos Inc,5812,DE,GB47UQWG96908430347022,Diaz Ltd,6021,DE,EUR,158881.07,Loan Repayment,1
T00093,2025-02-22 11:45:43,GB73DQCE70100943015735,Carey-Delgado,5812,BR,GB04CZPF38599288910400,Murphy-Davis,7311,US,BRL,57110.11,Retail Shopping,0
T00094,2025-01-01 09:51:04,GB11NZYN82521583048443,"Mcdonald, Joseph and Fernandez",7311,US,GB08MDOJ92128604083540,"Richardson, Rubio and Evans",5411,US,USD,167865.37,Insurance Premium,1
T00095,2025-06-09 20:39:11,GB30ISWV12213115168420,"Thornton, Hernandez and Patrick",4813,IN,GB48AVJG50488796013598,Benitez-Shaw,6021,IN,INR,121950.45,Loan Repayment,1
T00096,2025-04-09 23:08:35,GB08CNLN50603592507195,Cooke-Wallace,8221,ZA,GB82HEKR57210611252189,"Schultz, Harrington and Smith",6211,UK,ZAR,24280.09,Loan Repayment,0
T00097,2025-01-24 09:41:30,GB75XOOU65845566172815,Klein Ltd,8221,BR,GB69HFQR37261794824213,"Smith, Mcneil and Bates",8221,ZA,BRL,183642.3,Salary Payment,1
T00098,2025-08-20 00:15:12,GB10SVXT40301388629521,"Kramer, Ortega and Tran",4813,CN,GB61RFBH28409318114878,Delacruz Ltd,6021,RU,CNY,153215.88,Donation,1
T00099,2025-04-07 03:46:45,GB37GCKI62207957404869,"Reese, Lin and Hill",8221,RU,GB36QTEJ47007304303402,Richardson Ltd,7311,CN,RUB,108608.88,Donation,1
T00100,2025-04-14 17:13:53,GB36TBWS45788980677817,Walker Ltd,6021,AE,GB48KBNX72924408142590,"Beard, Cowan and Jackson",8221,US,AED,129623.2,Donation,1
T00101,2025-07-31 19:46:34,GB72VNZR69263805305705,Sullivan-Wheeler,7311,AE,GB75BNEY30992687319626,"Martin, Hill and Garza",6021,AE,AED,17656.34,Insurance Premium,1
T00102,2025-04-22 17:03:03,GB31KSZB50926573779649,Nunez PLC,8221,DE,GB85BNGN55965006024456,Holloway-Cunningham,6021,ZA,EUR,98437.2,Insurance Premium,0
T00103,2025-06-15 07:34:13,GB08SEMQ48017064741289,Stuart LLC,7311,CN,GB51OKEO30338732293591,Robbins-Walton,4813,CN,CNY,135913.78,Insurance Premium,1
T00104,2025-05-18 11:55:45,GB70IQEQ09602149537639,Jones-Harvey,7372,IN,GB23KMAN80393006208668,Cooper-Strong,8221,CN,INR,58800.93,Credit Card Payment,1
T00105,2025-07-02 19:29:06,GB80RVPA55024916026826,Webb LLC,6021,US,GB90DGVA27768556805781,Clark-Burns,5812,IN,USD,31925.69,Loan Repayment,0
T00106,2025-07-24 01:12:00,GB78BBMQ96995075482973,Lambert-Chambers,5411,BR,GB43EROB88329116862886,"Johnson, Jenkins and Parker",8221,IN,BRL,169645.41,Retail Shopping,1
T00107,2025-06-17 17:58:39,GB73WQFL22914874869974,Morris and Sons,7372,BR,GB17RNLI34223606790563,Flores PLC,7311,ZA,BRL,143196.28,Salary Payment,1
T00108,2025-03-02 22:00:52,GB72QEIL26199604367272,Anderson-Cortez,6211,CN,GB36TSQS56996723090016,Camacho-Munoz,4813,SG,CNY,35779.4,Paying Rent,1
T00109,2025-07-17 22:48:53,GB11HRKV91592792642445,Velez-Dean,6211,DE,GB34PLIN47893393178213,"Webster, Patterson and Olson",5812,DE,EUR,162850.59,Insurance Premium,1
T00110,2025-07-11 05:09:00,GB74ZTHO69918473233448,"Burton, Anderson and Smith",7372,ZA,GB52KHZQ32669578091334,"Leonard, Madden and Hawkins",7311,AE,ZAR,147197.24,Salary Payment,1
T00111,2025-07-06 05:58:50,GB87DVGE42083155645361,Sweeney PLC,7372,UK,GB52XZDE17635272041781,Rodriguez-Carrillo,6211,BR,GBP,174746.57,Subscription Service,1
T00112,2025-02-03 23:32:32,GB11ECJP74859847325139,Smith-Phillips,8221,US,GB37HVQH52339640888768,Perkins-Hopkins,5411,IN,USD,59434.17,Donation,1
T00113,2025-02-03 09:17:33,GB13CXVJ02698016011667,"Wilson, Gomez and Richards",6211,IN,GB52FYBO89763531261991,Stewart Inc,8221,US,INR,37585.77,EMI Payment,0
T00114,2025-01-31 03:10:29,GB14UUWO00948337056840,"Ramirez, Horton and Gonzales",7311,DE,GB92WQLY37320653398508,Johnson LLC,7372,SG,EUR,31109.71,Retail Shopping,0
T00115,2025-04-02 19:32:28,GB24OSAJ37826055214220,"Russell, Lewis and Byrd",4813,US,GB41UZHH15591609432085,Garner LLC,6021,SG,USD,27846.34,Utility Bill Payment,0
T00116,2025-07-01 05:47:46,GB53NXTT57497052815525,"Larsen, Marshall and Mason",5411,ZA,GB35MVSH68569105205440,Munoz-Gordon,8221,SG,ZAR,99060.53,Salary Payment,0
T00117,2025-07-11 00:54:29,GB55STPA45861774832607,"Hicks, Irwin and Aguirre",7311,US,GB88TOBS99898924505549,Martin PLC,5411,RU,USD,188160.82,EMI Payment,1
T00118,2025-05-08 23:47:12,GB59XHCE83654369880072,"Thompson, White and Matthews",5411,DE,GB92YNBF55824695543367,Fox Inc,7311,ZA,EUR,141510.26,EMI Payment,1
T00119,2025-06-22 18:07:13,GB03NAPV91034221777265,Rivera Ltd,8221,UK,GB16DZBQ07225400733361,Sanchez-Spence,6021,IN,GBP,37536.24,Subscription Service,0
T00120,2025-01-24 12:24:28,GB98BUFJ03261949946836,Mendez-Singleton,6021,RU,GB04TWQY99869593808449,Williams-Mejia,7372,SG,RUB,45818.49,Subscription Service,1
T00121,2025-02-01 13:53:46,GB16OQOH08879204957081,Waller-Pruitt,6211,UK,GB15YNBL72223112130553,"Choi, Moyer and Phillips",8221,SG,GBP,53659.22,Paying Rent,0
T00122,2025-01-17 11:01:37,GB42QOJP74422776367445,Flores Ltd,5812,SG,GB17YMMO86888850540101,Greene-Myers,7311,IN,SGD,19311.59,Paying Rent,0
T00123,2025-01-30 19:42:54,GB61SDCM96224491941158,Parker-Johnson,7311,IN,GB44RUQR73458251259080,Bailey Ltd,7311,DE,INR,50414.67,Salary Payment,0
T00124,2025-01-24 03:09:53,GB15STPK05665863496357,Vaughan Group,5812,RU,GB17FGPQ40341940539052,Cameron-Cantrell,7372,SG,RUB,66025.62,Subscription Service,1
T00125,2025-04-25 16:41:17,GB61JSVM73459684463882,"Pollard, Walker and West",5411,DE,GB45HSEB64722548051696,"Hughes, Henderson and Sanders",8221,RU,EUR,185377.98,Subscription Service,1
T00126,2025-07-11 13:26:01,GB48VDHR79154372036793,"Holmes, Alexander and Myers",5411,AE,GB10OWHW28994624374728,Fisher and Sons,7372,US,AED,120745.84,Travel Booking,1
T00127,2025-06-06 13:21:13,GB11PEDM13047512336553,James-Martinez,7311,CN,GB48TQLG12270209512411,Green-Kerr,7311,RU,CNY,45955.64,Salary Payment,1
T00128,2025-06-14 04:22:47,GB07ISFX41438326872397,"Stewart, Ray and Morrison",8221,AE,GB18KZNG47886781886698,"Christensen, Anderson and Dorsey",5411,CN,AED,28497.99,EMI Payment,1
T00129,2025-05-17 01:25:36,GB85LGQG97029863049406,"Sanders, Williams and Hall",5812,UK,GB68HODV35105312001840,Moore-Miller,6021,DE,GBP,86568.64,Subscription Service,1
T00130,2025-04-30 20:44:34,GB40CLKB39957149078066,Martinez-Ross,5812,ZA,GB60HROE59758689004924,Webb-Daniels,6021,SG,ZAR,30955.16,Insurance Premium,0
T00131,2025-03-27 00:09:23,GB98WLIT44261879655392,Dyer LLC,5812,BR,GB46IONW08509192897063,Bennett-Terrell,6021,DE,BRL,128940.85,Paying Rent,1
T00132,2025-02-02 18:39:01,GB86GVLE10923889387485,"Scott, Johnson and Barber",6021,CN,GB42VIYY68475910902735,Rogers LLC,7372,DE,CNY,137758.41,Insurance Premium,1
T00133,2025-06-17 05:11:56,GB09TAUE69670332764556,"Zhang, Cervantes and Murray",5411,IN,GB35HCNJ51895938267319,Martinez-Walsh,6211,UK,INR,54744.48,Insurance Premium,0
T00134,2025-02-09 20:17:26,GB92FUUK96993390149889,"Gilbert, Brown and Soto",5812,UK,GB95EQRD27850969665166,Wood-Mitchell,8221,BR,GBP,84314.49,EMI Payment,0
T00135,2025-06-10 02:14:14,GB39HVYL10795666479128,Farrell-Jones,6211,UK,GB52BMYJ76215055575042,Jones PLC,8221,DE,GBP,46065.25,Loan Repayment,0
T00136,2025-07-23 09:37:56,GB13LJQH05672489258655,Chan-Green,7372,DE,GB20ZANZ65356777213373,"Bradley, Torres and Obrien",5411,SG,EUR,30438.65,Loan Repayment,0
T00137,2025-01-12 18:05:30,GB24PIHJ32103470665021,Gonzales LLC,7372,RU,GB56ILDN57722924882856,Flores PLC,7372,BR,RUB,96313.42,Insurance Premium,1
T00138,2025-05-14 11:15:02,GB40MXMN39612401704920,Johnson PLC,7372,AE,GB42ZBMC36563599183899,"Rios, Pham and Lawrence",6021,US,AED,191442.58,EMI Payment,1
T00139,2025-06-16 09:56:06,GB74XDOP49141137707230,Cantrell PLC,7372,SG,GB98MNLH78013250219650,Walker Ltd,6021,BR,SGD,197048.0,Retail Shopping,1
T00140,2025-08-21 16:45:45,GB66VOJQ79442259288735,"Frank, Newton and Walton",5812,DE,GB74YRRN64389745087078,Mann Inc,8221,CN,EUR,1463.08,Credit Card Payment,1
T00141,2025-03-11 17:52:16,GB98VDFP80190334374987,Winters-Holmes,8221,US,GB88POMO22066895031370,Johnson and Sons,6021,SG,USD,104160.77,Credit Card Payment,1
T00142,2025-01-13 04:51:39,GB78KMJZ56498391937224,"Johnson, Frazier and Lara",5411,AE,GB12UYAM10563410753041,"Cole, King and Roth",6021,SG,AED,139569.61,Retail Shopping,1
T00143,2025-07-09 08:11:59,GB21EPYW83382724367101,"Holloway, Johnston and Howard",5411,AE,GB16OBYW67290598179291,Reynolds Group,8221,US,AED,172014.2,Salary Payment,1
T00144,2025-05-07 07:45:41,GB78MDJW46510199473640,Kaufman Inc,6211,UK,GB82HJOB06904676229155,Hickman-Cunningham,4813,DE,GBP,168348.93,Credit Card Payment,1
T00145,2025-03-03 19:17:41,GB06IIIV62284406610150,Robinson-Odom,5411,UK,GB84RTAE72124319794567,Sandoval-Allen,7311,US,GBP,139163.19,Insurance Premium,1
